anomaly_region_id,start_time,end_time,points,max_score,mean_score,cpu_mean,voltage_mean,relation_signal_mean,cpu_score_mean,voltage_score_mean
1,2025-10-16 05:03:00,2025-10-16 05:14:00,23,1.0,1.0,18.166170434782607,12.016695652173913,-339.65050938430534,0.6334920060869565,0.7361095886956524
2,2025-10-16 05:24:00,2025-10-16 06:10:00,93,1.0,1.0,0.21953227956989257,12.096000000000002,-529.1245143431574,0.5618854723655914,1.1826796999999993
3,2025-10-16 06:11:30,2025-10-16 06:12:00,2,1.0,1.0,0.09971749999999695,12.096,-530.3959537740761,0.38194411,1.1826797
4,2025-10-16 06:13:00,2025-10-16 07:02:00,99,1.0,1.0,0.1465632828282831,12.096000000000002,-529.8988400150395,0.5864240117171717,1.1826796999999996
5,2025-10-16 07:04:30,2025-10-16 07:06:00,4,1.0,1.0,0.10075900000000355,12.096,-530.3849016804024,0.4572906275,1.1826797
6,2025-10-16 07:08:00,2025-10-16 07:10:00,5,1.0,1.0,0.10006380000000088,12.096,-530.392278939665,0.37705628999999996,1.1826797
7,2025-10-16 07:11:30,2025-10-16 07:29:00,36,1.0,1.0,0.16343891666666638,12.096,-529.7197607198066,0.6488547072222223,1.1826797000000002
8,2025-10-16 07:31:30,2025-10-16 07:34:00,6,1.0,1.0,0.09682466666666535,12.096000000000002,-530.4266516761236,0.4162345316666667,1.1826796999999998
9,2025-10-16 07:39:00,2025-10-16 08:12:00,67,1.0,1.0,0.13517183582089518,12.096000000000002,-530.0197227221013,0.6165504697014926,1.1826796999999996
10,2025-10-16 08:14:30,2025-10-16 08:41:30,55,1.0,1.0,0.14193663636363513,12.096000000000002,-529.9479366354165,0.5912944823636365,1.1826797
11,2025-10-16 08:43:30,2025-10-16 09:26:00,86,1.0,1.0,0.15408522093023283,12.096000000000002,-529.8190194058119,0.6152054313953489,1.1826796999999993
12,2025-10-16 09:27:30,2025-10-16 09:37:00,20,1.0,1.0,0.09937054999999968,12.096,-530.3996355060972,0.4272471265000001,1.1826797000000002
13,2025-10-16 09:40:00,2025-10-16 09:56:30,34,1.0,1.0,0.16563338235294153,12.096,-529.6964736911667,0.6727485897058824,1.1826797
14,2025-10-16 09:59:30,2025-10-16 10:56:30,115,1.0,1.0,0.1398153478260866,12.096000000000002,-529.9704471295364,0.6237695213043476,1.1826796999999996
15,2025-10-16 11:01:30,2025-10-16 11:02:00,2,1.0,1.0,0.10076049999999975,12.096,-530.3848857628408,0.3726899,1.1826797
16,2025-10-16 11:05:00,2025-10-16 11:27:00,45,1.0,1.0,0.15142646666666776,12.096000000000002,-529.8472333291688,0.5932040308888887,1.1826797
17,2025-10-16 11:34:00,2025-10-16 11:43:30,20,1.0,1.0,0.10041264999999977,12.096,-530.388577045399,0.529791391,1.1826797000000002
18,2025-10-16 11:44:30,2025-10-16 12:06:30,45,1.0,1.0,0.15149057777777808,12.096000000000002,-529.8465530007911,0.6388064146666667,1.1826797
19,2025-10-16 12:16:30,2025-10-16 12:27:00,22,1.0,1.0,0.203673090909092,12.096000000000002,-529.2928074191713,0.80201281,1.1826797000000004
20,2025-10-16 12:28:30,2025-10-16 12:32:30,9,1.0,1.0,0.10153122222222061,12.096,-530.3767070838236,0.5230954988888888,1.1826797
21,2025-10-16 12:34:00,2025-10-16 12:34:00,1,1.0,1.0,0.097288000000006,12.096,-530.4217349181762,0.37172574,1.1826797
22,2025-10-16 12:35:00,2025-10-16 12:38:30,8,1.0,1.0,0.10353750000000159,12.096,-530.35541705028,0.4080553825,1.1826797
23,2025-10-16 12:43:00,2025-10-16 13:27:00,89,1.0,1.0,0.1511786741573031,12.096000000000002,-529.8498628308733,0.6388551011235956,1.1826796999999996
24,2025-10-16 13:29:00,2025-10-16 13:32:00,7,1.0,1.0,0.10264528571428645,12.096000000000002,-530.3648849675751,0.41853263571428573,1.1826796999999998
25,2025-10-16 13:34:00,2025-10-16 13:38:30,10,1.0,1.0,0.09951089999999987,12.096,-530.3981461529077,0.47918191599999993,1.1826797
26,2025-10-16 13:40:00,2025-10-16 13:45:30,12,1.0,1.0,0.1015688333333327,12.096000000000002,-530.3763079657024,0.45532181666666666,1.1826796999999998
27,2025-10-16 13:47:00,2025-10-16 14:37:30,102,1.0,1.0,0.14543783333333388,12.096000000000002,-529.9107829562238,0.6510371850980393,1.1826796999999993
28,2025-10-16 14:39:00,2025-10-16 14:45:30,14,1.0,1.0,0.10080971428571368,12.096000000000002,-530.3843635152213,0.6302180214285714,1.1826796999999998
29,2025-10-16 15:08:00,2025-10-16 15:13:30,12,1.0,1.0,0.10099083333333066,12.096000000000002,-530.3824415328107,0.47161487416666675,1.1826796999999998
30,2025-10-16 15:27:00,2025-10-16 15:29:00,5,1.0,1.0,0.5115860000000026,12.096,-526.0253256000467,0.643150794,1.1826797
31,2025-10-16 15:56:00,2025-10-16 15:58:00,5,1.0,1.0,0.5478746,12.096,-525.6402415803751,0.7604052720000001,1.1826797
32,2025-10-16 16:02:00,2025-10-16 16:02:00,1,1.0,1.0,0.1042300000000011,12.096,-530.3480684426286,0.37570363,1.1826797
33,2025-10-16 16:21:30,2025-10-16 16:26:00,10,1.0,1.0,0.09721799999999939,12.096,-530.4224777377223,0.710908815,1.1826797
34,2025-10-16 17:07:30,2025-10-16 17:11:00,8,1.0,1.0,0.09859187500000027,12.096,-530.4078985776684,0.57559459625,1.1826797
35,2025-10-16 17:14:30,2025-10-16 17:16:30,5,1.0,1.0,0.09645459999999838,12.096,-530.4305787154568,0.52421865,0.5029409420000001
36,2025-10-16 18:06:00,2025-10-16 18:12:00,13,1.0,1.0,50.31743430769231,11.86707692307692,-0.3016286616964963,0.5212777184615384,0.4041592453846154
37,2025-10-16 18:13:30,2025-10-16 18:13:30,1,1.0,1.0,50.344458,11.904,0.43697951549671143,0.58590937,0.38247985
38,2025-10-16 18:34:00,2025-10-16 18:45:30,24,1.0,1.0,50.317417,11.86,-0.38841511726304967,0.5193667041666666,0.48722275041666663
39,2025-10-16 18:49:30,2025-10-16 18:52:00,6,1.0,1.0,50.326312333333334,11.872,-0.14717222765337906,0.5391355566666667,0.3987732833333333
40,2025-10-16 18:55:00,2025-10-16 18:58:00,7,1.0,1.0,50.314141,11.862857142857141,-0.38821521213667737,0.6474329057142858,0.38945783
41,2025-10-16 19:28:00,2025-10-16 19:28:00,1,1.0,1.0,50.359482,11.808,-0.5783758784568483,0.70251566,0.37496966
42,2025-10-16 19:30:00,2025-10-16 19:34:30,10,1.0,1.0,50.30958880000001,11.875199999999998,-0.28547795370578155,0.5905622960000001,0.46245029200000004
43,2025-10-16 19:53:00,2025-10-16 19:58:00,11,1.0,1.0,50.32592718181818,11.903999999999998,0.24033588765606143,0.4629698063636363,1.1826796999999998
44,2025-10-16 20:34:30,2025-10-16 20:38:30,9,1.0,1.0,50.32733177777777,11.904,0.25524104955637333,0.5724754344444445,1.1826797
45,2025-10-16 20:48:00,2025-10-16 20:48:30,2,1.0,1.0,50.3163845,11.856,-0.448321109397412,0.6215018999999999,0.374176575
46,2025-10-16 20:57:00,2025-10-16 20:57:30,2,1.0,1.0,50.3282385,11.904,0.26486292083438906,0.43498808,1.1826797
47,2025-10-16 21:26:00,2025-10-16 21:26:00,1,1.0,1.0,50.318986,11.904,0.16667809441478626,0.5650848,1.1826797
48,2025-10-16 21:58:30,2025-10-16 21:59:00,2,1.0,1.0,50.324542,11.904,0.22563674295164055,0.6266388,1.1826797
49,2025-10-16 22:16:00,2025-10-16 22:22:30,14,1.0,1.0,50.326186857142865,11.903999999999998,0.24309148632440133,0.4920252971428571,1.1826796999999998
50,2025-10-16 22:56:30,2025-10-16 22:58:00,4,1.0,1.0,50.319587999999996,11.904,0.17306634251036307,0.48554249250000003,1.1826797
51,2025-10-16 23:43:30,2025-10-16 23:46:00,6,1.0,1.0,50.321350333333335,11.903999999999998,0.19176770888991546,0.5108805983333333,1.1826796999999998
52,2025-10-17 00:03:00,2025-10-17 00:11:30,18,1.0,1.0,50.32486099999999,11.871999999999998,-0.16257335290713226,0.6546675066666667,0.4462032372222222
53,2025-10-17 00:26:00,2025-10-17 00:26:30,2,1.0,1.0,50.3047045,11.904,0.015126989468878627,0.43682933999999995,1.1826797
54,2025-10-17 00:50:30,2025-10-17 00:52:00,4,1.0,1.0,50.30668525,11.904,0.03614612969374845,0.61187267,1.1826797
55,2025-10-17 01:18:00,2025-10-17 01:19:00,3,1.0,1.0,50.312244666666665,11.904000000000002,0.09514103489894728,0.6242102900000001,1.1826797
56,2025-10-17 01:44:30,2025-10-17 01:44:30,1,1.0,1.0,50.306086,11.904,0.02978706379460454,0.4541672,1.1826797
57,2025-10-17 02:24:30,2025-10-17 02:25:30,3,1.0,1.0,50.30840066666667,11.904000000000002,0.05434963011571531,0.4526715733333333,1.1826797
58,2025-10-17 02:49:30,2025-10-17 02:50:00,2,1.0,1.0,50.3257665,11.904,0.23863077915274838,0.504270255,1.1826797
59,2025-10-17 03:51:30,2025-10-17 03:55:30,9,1.0,1.0,50.318020999999995,11.904,0.15643779638774924,0.6350965033333333,1.1826797
60,2025-10-17 04:30:00,2025-10-17 04:33:30,8,1.0,1.0,50.311928125,11.892,-0.05506622426687071,0.5756052625000001,0.44896189125
61,2025-10-17 04:37:00,2025-10-17 04:38:00,3,1.0,1.0,50.310158333333334,11.872,-0.3185937554547836,0.5579747033333334,0.38559940666666664
62,2025-10-17 04:39:00,2025-10-17 04:44:00,11,1.0,1.0,50.31599845454546,11.886545454545454,-0.07862226352284377,0.5221962663636364,0.44955012636363634
63,2025-10-17 04:46:00,2025-10-17 04:48:00,5,1.0,1.0,50.3230888,11.8656,-0.2596984675997212,0.522687158,0.43144930600000003
64,2025-10-17 05:33:30,2025-10-17 05:36:30,7,1.0,1.0,50.3290602857143,11.876571428571427,-0.062069584131642444,0.4740992942857143,0.4424541657142857
65,2025-10-17 05:49:30,2025-10-17 05:52:00,6,1.0,1.0,50.332368333333335,11.872,-0.0829077252165183,0.5723455566666666,0.3966255266666667
66,2025-10-17 06:00:00,2025-10-17 06:05:30,12,1.0,1.0,50.31663083333333,11.903999999999998,0.14168575392776672,0.5667938916666668,1.1826796999999998
67,2025-10-17 07:40:00,2025-10-17 07:40:30,2,1.0,1.0,50.322306499999996,11.904,0.20191427016470015,0.6748664950000001,1.1826797
68,2025-10-17 08:52:30,2025-10-17 08:52:30,1,1.0,1.0,50.326661,11.904,0.24812295177987156,0.5391888,1.1826797
69,2025-10-17 09:03:00,2025-10-17 09:06:30,8,1.0,1.0,50.318415,11.904,0.16061880926095212,0.5228178812500001,1.1826797
70,2025-10-17 09:15:30,2025-10-17 09:26:00,22,1.0,1.0,50.33444427272727,11.86472727272727,-0.14987737901361362,0.5765732827272727,0.4755517572727273
71,2025-10-17 10:01:30,2025-10-17 10:02:00,2,1.0,1.0,50.326991500000005,11.904,0.2516301212077805,0.53762905,1.1826797
72,2025-10-17 10:45:30,2025-10-17 10:50:00,10,1.0,1.0,50.3219428,11.904,0.19805479203784562,0.5668054730000001,1.1826797
73,2025-10-17 12:46:00,2025-10-17 12:46:30,2,1.0,1.0,50.321255,11.904,0.19075605941299661,0.633973135,1.1826797
74,2025-10-17 13:59:00,2025-10-17 14:01:30,6,1.0,1.0,50.31080083333333,11.903999999999998,0.0798194974536859,0.47434723333333334,1.1826796999999998
75,2025-10-17 14:12:30,2025-10-17 14:13:30,3,1.0,1.0,50.32082533333334,11.904000000000002,0.18619656229489986,0.6950298566666667,1.1826797
76,2025-10-17 14:28:30,2025-10-17 14:32:30,9,1.0,1.0,50.32179522222222,11.904,0.19648873978227882,0.611694108888889,1.1826797
77,2025-10-17 16:22:30,2025-10-17 16:25:00,6,1.0,1.0,50.327897166666666,11.903999999999998,0.2612407912386227,0.5537285116666667,1.1826796999999998
78,2025-10-17 17:36:00,2025-10-17 17:40:30,10,1.0,1.0,50.3822971,11.904,0.8385169881121278,0.48943630700000007,1.1826797
79,2025-10-17 17:59:30,2025-10-17 18:01:30,5,1.0,1.0,50.3074094,11.904,0.043830597897122923,0.576392054,0.384335376
80,2025-10-17 18:22:00,2025-10-17 18:27:00,11,1.0,1.0,50.32675454545454,11.903999999999998,0.2491156288095161,0.5410004754545455,1.1826796999999998
81,2025-10-17 18:39:30,2025-10-17 18:42:30,7,1.0,1.0,50.311756142857135,11.903999999999998,0.08995696297891838,0.4539578128571429,0.3922255114285714
82,2025-10-17 19:53:30,2025-10-17 19:53:30,1,1.0,1.0,50.309235,11.904,0.06320333165684938,0.3811265,1.1826797
83,2025-10-17 20:28:00,2025-10-17 20:28:00,1,1.0,1.0,50.315867,11.904,0.13358017778649203,0.70536566,1.1826797
84,2025-10-17 20:38:30,2025-10-17 20:46:00,16,1.0,1.0,50.324362375,11.904,0.22373061493805013,0.536143051875,1.1826797
85,2025-10-17 21:03:30,2025-10-17 21:08:00,10,1.0,1.0,50.3246051,11.904,0.2263063417138122,0.6132729840000002,1.1826797
86,2025-10-17 21:38:30,2025-10-17 21:39:30,3,1.0,1.0,50.39372066666667,11.904000000000002,0.9597405396127642,0.43014621,1.1826797
87,2025-10-17 22:04:30,2025-10-17 22:08:00,8,1.0,1.0,50.3213465,11.904,0.1917270306766968,0.51360323875,1.1826797
88,2025-10-17 22:18:30,2025-10-17 22:21:30,7,1.0,1.0,50.308816,11.903999999999998,0.058757026088646046,0.6143949242857143,1.1826796999999998
89,2025-10-17 22:38:00,2025-10-17 22:43:30,12,1.0,1.0,50.31834258333333,11.903999999999998,0.15985034475444573,0.5904172775,1.1826796999999998
90,2025-10-17 22:51:30,2025-10-17 22:56:30,11,1.0,1.0,50.36581036363636,11.903999999999998,0.6635645592453874,0.509498159090909,1.1826796999999998
91,2025-10-18 00:05:00,2025-10-18 00:08:00,7,1.0,1.0,50.32835985714286,11.903999999999998,0.26615072737382967,0.5187520157142858,1.1826796999999998
92,2025-10-18 00:15:30,2025-10-18 00:23:00,16,1.0,1.0,50.3506589375,11.873999999999999,0.1356615236012788,0.599937215,0.422829349375
93,2025-10-18 00:45:00,2025-10-18 00:54:00,19,1.0,1.0,50.357055947368416,11.904,0.5706652518503058,0.5613158978947369,1.1826797000000002
94,2025-10-18 01:34:30,2025-10-18 01:37:30,7,1.0,1.0,50.32062114285714,11.903999999999998,0.1840297526260414,0.4974664971428571,1.1826796999999998
95,2025-10-18 02:06:00,2025-10-18 02:09:00,7,1.0,1.0,50.31878985714286,11.903999999999998,0.16459668372770367,0.49899103714285714,1.1826796999999998
96,2025-10-18 02:19:30,2025-10-18 02:33:30,29,1.0,1.0,50.31826168965518,11.904,0.15899192467892795,0.5249761748275862,1.1826797
97,2025-10-18 03:34:30,2025-10-18 03:41:00,14,1.0,1.0,50.32320292857143,11.903999999999998,0.21142690822827545,0.5841816671428571,1.1826796999999998
98,2025-10-18 03:59:00,2025-10-18 03:59:30,2,1.0,1.0,50.323709,11.904,0.21679719035422923,0.591077,1.1826797
99,2025-10-18 04:28:00,2025-10-18 04:28:00,1,1.0,1.0,50.320033,11.904,0.17778855248139722,0.5063029,1.1826797
100,2025-10-18 04:50:30,2025-10-18 04:54:30,9,1.0,1.0,50.313110555555554,11.904,0.10432959477510469,0.41228398777777775,1.1826797
101,2025-10-18 05:41:30,2025-10-18 05:50:00,18,1.0,1.0,50.32223666666667,11.904,0.20117321923666448,0.6083385477777778,1.1826797000000002
102,2025-10-18 06:03:00,2025-10-18 06:22:00,39,1.0,1.0,50.32228679487179,11.904,0.2017051651020286,0.5703847951282052,1.1826797000000002
103,2025-10-18 06:48:00,2025-10-18 06:53:00,11,1.0,1.0,50.33499727272727,11.903999999999998,0.3365850421028948,0.5722465881818182,1.1826796999999998
104,2025-10-18 07:05:30,2025-10-18 07:06:30,3,1.0,1.0,50.321637,11.904000000000002,0.1948097317925962,0.4343180133333333,1.1826797
105,2025-10-18 07:55:00,2025-10-18 07:57:30,6,1.0,1.0,50.31762516666666,11.903999999999998,0.15223732871690138,0.45197491333333334,1.1826796999999998
106,2025-10-18 08:18:30,2025-10-18 08:23:30,11,1.0,1.0,50.32196963636363,11.903999999999998,0.19833957168716757,0.6089279281818182,1.1826796999999998
107,2025-10-18 08:31:00,2025-10-18 08:31:00,1,1.0,1.0,50.389509,11.904,0.9150475635950088,0.3709247,1.1826797
108,2025-10-18 09:01:30,2025-10-18 09:12:30,23,1.0,1.0,50.326763782608694,11.903999999999998,0.249213650790263,0.4599983830434782,1.1826797000000004
109,2025-10-18 09:23:00,2025-10-18 09:25:30,6,1.0,1.0,50.32800616666666,11.903999999999998,0.26239746738884434,0.46537679666666665,1.1826796999999998
110,2025-10-18 09:43:00,2025-10-18 09:44:00,3,1.0,1.0,50.326908333333336,11.904000000000002,0.25074758084239157,0.6157271400000001,1.1826797
111,2025-10-18 10:34:30,2025-10-18 10:38:00,8,1.0,1.0,50.31668425,11.904,0.14225259598607923,0.49941353875,1.1826797
112,2025-10-18 12:16:30,2025-10-18 12:16:30,1,1.0,1.0,50.33399,11.904,0.32589615824614826,0.5838846,0.38000488
113,2025-10-18 13:02:30,2025-10-18 13:06:00,8,1.0,1.0,50.332897125,11.904,0.3142988880842156,0.5521173537499999,1.1826797
114,2025-10-18 13:21:30,2025-10-18 13:25:00,8,1.0,1.0,50.317043375,11.904,0.1460635255497601,0.5569914599999999,1.1826797
115,2025-10-18 15:38:30,2025-10-18 15:40:30,5,1.0,1.0,50.309427,11.904,0.06524077955443498,0.519811896,1.1826797
116,2025-10-18 16:26:00,2025-10-18 16:31:00,11,1.0,1.0,50.32273072727273,11.903999999999998,0.2064160460236807,0.4784231945454546,1.1826796999999998
117,2025-10-18 16:33:00,2025-10-18 16:33:30,2,1.0,1.0,50.325254,11.904,0.2331922789052499,0.37780508,1.1826797
118,2025-10-18 16:57:00,2025-10-18 17:01:00,9,1.0,1.0,50.32638955555556,11.904,0.2452424626514742,0.5824064200000001,1.1826797
119,2025-10-18 17:20:30,2025-10-18 17:32:30,25,1.0,1.0,50.321405760000005,11.904000000000002,0.1923558804809228,0.5395971084,1.1826797
120,2025-10-18 18:08:00,2025-10-18 18:10:00,5,1.0,1.0,50.3136352,11.904,0.10989696831844076,0.56131489,1.1826797
121,2025-10-18 18:35:30,2025-10-18 18:38:30,7,1.0,1.0,50.33150271428571,11.903999999999998,0.29950180903098794,0.5363776342857144,1.1826796999999998
122,2025-10-18 18:53:00,2025-10-18 19:04:30,24,1.0,1.0,50.31693729166667,11.904000000000002,0.14493780021398064,0.5822087933333333,1.1826797
123,2025-10-18 20:48:30,2025-10-18 20:54:30,13,1.0,1.0,50.34731430769231,11.903999999999998,0.4672898181143678,0.5260013138461538,1.1826796999999998
124,2025-10-18 21:02:30,2025-10-18 21:06:00,8,1.0,1.0,50.319689249999996,11.892,0.02729256643251124,0.5287498150000001,0.42625509125000005
125,2025-10-18 21:21:00,2025-10-18 21:26:00,11,1.0,1.0,50.32755754545454,11.903999999999998,0.25763683017292194,0.4510542881818181,1.1826796999999998
126,2025-10-18 21:37:30,2025-10-18 21:48:30,23,1.0,1.0,50.32670978260869,11.903999999999998,0.2486406185690568,0.4856381656521738,1.1826797000000004
127,2025-10-18 22:01:30,2025-10-18 22:04:30,7,1.0,1.0,50.33983685714286,11.903999999999998,0.3879412977945657,0.5482644828571429,1.1826796999999998
128,2025-10-18 22:27:00,2025-10-18 22:33:30,14,1.0,1.0,50.31157992857142,11.903999999999998,0.08808702846874443,0.5595833592857143,1.1826796999999998
129,2025-10-18 22:44:00,2025-10-18 22:48:30,10,1.0,1.0,50.305276000000006,11.904,0.02119158047658804,0.596832642,1.1826797
130,2025-10-18 23:08:00,2025-10-18 23:13:30,12,1.0,1.0,50.31380049999999,11.903999999999998,0.11165108361780023,0.4633061316666667,1.1826796999999998
131,2025-10-18 23:44:00,2025-10-18 23:44:00,1,1.0,1.0,50.334645,11.904,0.3328468268551761,0.3892125,1.1826797
132,2025-10-19 00:17:30,2025-10-19 00:19:00,4,1.0,1.0,50.31792925,11.904,0.15546417219706593,0.4557762475,1.1826797
133,2025-10-19 02:06:30,2025-10-19 02:09:30,7,1.0,1.0,50.309628142857136,11.903999999999998,0.06737524878048061,0.5662310928571429,1.1826796999999998
134,2025-10-19 03:00:30,2025-10-19 03:00:30,1,1.0,1.0,50.268213,11.904,-0.372110145715244,0.38943273,1.1826797
135,2025-10-19 03:02:00,2025-10-19 03:05:30,8,1.0,1.0,50.304640125,11.904,0.014443860779262189,0.475793475,1.1826797
136,2025-10-19 04:45:00,2025-10-19 04:51:00,13,1.0,1.0,50.30880815384615,11.903999999999998,0.05867376499666155,0.5286424030769232,1.1826796999999998
137,2025-10-19 04:57:30,2025-10-19 04:58:00,2,1.0,1.0,50.3658105,11.904,0.663566006296468,0.411225705,1.1826797
138,2025-10-19 05:08:30,2025-10-19 05:13:00,10,1.0,1.0,50.31149799999999,11.904,0.08721762640826962,0.5943047539999999,1.1826797
139,2025-10-19 05:29:30,2025-10-19 05:39:30,21,1.0,1.0,48.42348976190476,11.904,-19.947774120274854,0.5831487466666667,1.1826797000000002
140,2025-10-19 05:40:30,2025-10-19 05:40:30,1,1.0,1.0,46.630861,11.904,-38.970626735506364,0.37159497,1.1826797
141,2025-10-19 05:44:00,2025-10-19 05:58:00,29,1.0,1.0,46.642032551724135,11.904,-38.85207749293712,0.45338405034482754,1.1826797
142,2025-10-19 06:00:00,2025-10-19 06:04:30,10,1.0,1.0,46.64973690000001,11.904,-38.77032120024412,0.467693947,1.1826797
143,2025-10-19 06:17:00,2025-10-19 06:19:30,6,1.0,1.0,46.633903000000004,11.903999999999998,-38.93834592037876,0.48159455999999995,1.1826796999999998
144,2025-10-19 06:26:30,2025-10-19 06:36:00,20,1.0,1.0,46.668521350000006,11.904,-38.5709861056602,0.5058248744999999,1.1826797000000002
145,2025-10-19 06:50:00,2025-10-19 07:06:30,34,1.0,1.0,46.666849823529404,11.904,-38.58872385614605,0.49827052323529414,1.1826797
146,2025-10-19 07:19:30,2025-10-19 07:21:30,5,1.0,1.0,46.675452199999995,11.904,-38.497437950654465,0.41629758799999994,1.1826797
147,2025-10-19 07:23:30,2025-10-19 07:29:30,13,1.0,1.0,46.666427538461534,11.903999999999998,-38.59320502189465,0.48457286615384615,1.1826796999999998
148,2025-10-19 07:32:30,2025-10-19 07:33:00,2,1.0,1.0,46.676185000000004,11.904,-38.489661691178625,0.44254426999999996,1.1826797
149,2025-10-19 07:35:00,2025-10-19 07:35:30,2,1.0,1.0,46.692556999999994,11.904,-38.31592681107686,0.378900615,1.1826797
150,2025-10-19 07:38:00,2025-10-19 07:45:00,15,1.0,1.0,46.680512666666665,11.903999999999998,-38.4437377570561,0.4808369086666667,1.1826797
151,2025-10-19 07:51:30,2025-10-19 07:59:30,17,1.0,1.0,46.668726176470585,11.904,-38.5688125470046,0.44836051941176475,1.1826797
152,2025-10-19 08:04:30,2025-10-19 08:05:00,2,1.0,1.0,46.6811535,11.904,-38.43693742097426,0.895508515,1.1826797
153,2025-10-19 08:10:30,2025-10-19 08:12:00,4,1.0,1.0,46.67146100000001,11.904,-38.539791398825884,0.5269453525000001,0.5117233075
154,2025-10-19 08:31:30,2025-10-19 08:34:00,6,1.0,1.0,0.09728316666666827,12.08,-530.6175838234208,0.5246893333333333,0.41530188000000007
155,2025-10-19 09:59:30,2025-10-19 10:02:30,7,1.0,1.0,0.09361199999999716,12.096000000000002,-530.4607435560491,0.41747984571428576,1.1826796999999998
156,2025-10-19 10:21:00,2025-10-19 10:38:00,35,1.0,1.0,0.09378925714285664,12.096,-530.4588625550435,0.5547701859999999,1.1826797000000002
157,2025-10-19 11:40:00,2025-10-19 11:42:00,5,1.0,1.0,0.0936698000000035,12.0768,-530.6950873377264,0.7489384699999999,0.387705404
158,2025-10-19 13:24:30,2025-10-19 13:25:00,2,1.0,1.0,0.09380850000000145,12.096,-530.4586583554665,0.39302038,0.39287996000000003
159,2025-10-19 13:32:30,2025-10-19 13:32:30,1,1.0,1.0,0.0945009999999939,12.096,-530.451309747815,0.4184771,1.1826797
160,2025-10-19 14:14:00,2025-10-19 14:16:00,5,1.0,1.0,0.3059534000000013,12.096,-528.2074386654035,0.7932557060000001,0.3982099
161,2025-10-19 14:28:30,2025-10-19 14:30:00,4,1.0,1.0,0.09537200000000108,12.096,-530.4420669503211,0.4358407675,1.1826797
162,2025-10-19 15:53:00,2025-10-19 15:56:00,7,1.0,1.0,0.09291499999999882,12.096000000000002,-530.4681399163858,0.45717870857142856,1.1826796999999998
163,2025-10-19 16:04:00,2025-10-19 16:06:30,6,1.0,1.0,0.09380866666666772,12.08,-530.6544542021719,0.5254439949999999,0.47385302999999995
164,2025-10-19 16:17:00,2025-10-19 16:20:00,7,1.0,1.0,49.21647771428571,11.903999999999998,-11.532817680677963,0.5019018857142857,1.1826796999999998
165,2025-10-19 16:30:30,2025-10-19 16:37:30,15,1.0,1.0,49.2332126,11.903999999999998,-11.355231963411347,0.6306826906666667,1.1826797
166,2025-10-19 16:43:30,2025-10-19 16:46:00,6,1.0,1.0,49.35113333333334,11.903999999999998,-10.103891597714819,0.4708122266666667,1.1826796999999998
167,2025-10-19 16:48:00,2025-10-19 16:52:00,9,1.0,1.0,49.21015244444445,11.904,-11.59993959598975,0.4911469766666667,1.1826797
168,2025-10-19 16:56:00,2025-10-19 17:01:00,11,1.0,1.0,49.31221945454545,11.903999999999998,-10.516834308776895,0.5000491718181818,1.1826796999999998
169,2025-10-19 17:03:00,2025-10-19 17:07:30,10,1.0,1.0,49.2295165,11.904,-11.394453896610978,0.455114286,1.1826797
170,2025-10-19 17:09:00,2025-10-19 17:30:00,43,1.0,1.0,49.274008720930226,11.903999999999998,-10.92231544872575,0.6549765646511629,1.1826797
